Territorio,Atividades,Mes_Ano,Indice,Data,Ano
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",fevereiro 2023,92.73136,2023-02-01,2023
Brasil,Hipermercados e supermercados,fevereiro 2023,93.02122,2023-02-01,2023
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",março 2023,101.62821,2023-03-01,2023
Brasil,Hipermercados e supermercados,março 2023,101.72343,2023-03-01,2023
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",abril 2023,103.19666,2023-04-01,2023
Brasil,Hipermercados e supermercados,abril 2023,103.94742,2023-04-01,2023
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",maio 2023,98.68158,2023-05-01,2023
Brasil,Hipermercados e supermercados,maio 2023,98.53027,2023-05-01,2023
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",junho 2023,99.56226,2023-06-01,2023
Brasil,Hipermercados e supermercados,junho 2023,99.42709,2023-06-01,2023
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",julho 2023,103.17058,2023-07-01,2023
Brasil,Hipermercados e supermercados,julho 2023,103.35069,2023-07-01,2023
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",agosto 2023,104.48636,2023-08-01,2023
Brasil,Hipermercados e supermercados,agosto 2023,104.71564,2023-08-01,2023
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",setembro 2023,104.74064,2023-09-01,2023
Brasil,Hipermercados e supermercados,setembro 2023,105.34604,2023-09-01,2023
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",outubro 2023,104.46568,2023-10-01,2023
Brasil,Hipermercados e supermercados,outubro 2023,104.84879,2023-10-01,2023
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",novembro 2023,107.12675,2023-11-01,2023
Brasil,Hipermercados e supermercados,novembro 2023,107.7552,2023-11-01,2023
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",dezembro 2023,128.2214,2023-12-01,2023
Brasil,Hipermercados e supermercados,dezembro 2023,129.20291,2023-12-01,2023
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",janeiro 2024,102.1485,2024-01-01,2024
Brasil,Hipermercados e supermercados,janeiro 2024,102.92323,2024-01-01,2024
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",fevereiro 2024,101.42708,2024-02-01,2024
Brasil,Hipermercados e supermercados,fevereiro 2024,102.28349,2024-02-01,2024
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",março 2024,110.41701,2024-03-01,2024
Brasil,Hipermercados e supermercados,março 2024,111.34176,2024-03-01,2024
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",abril 2024,101.88901,2024-04-01,2024
Brasil,Hipermercados e supermercados,abril 2024,102.83262,2024-04-01,2024
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",maio 2024,108.78253,2024-05-01,2024
Brasil,Hipermercados e supermercados,maio 2024,109.58976,2024-05-01,2024
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",junho 2024,103.1549,2024-06-01,2024
Brasil,Hipermercados e supermercados,junho 2024,103.52054,2024-06-01,2024
Brasil,"Hipermercados, supermercados, produtos alimentícios, bebidas e fumo",julho 2024,106.54876,2024-07-01,2024
Brasil,Hipermercados e supermercados,julho 2024,107.32903,2024-07-01,2024
